cluster_id	scan_id	precursor_mz	precursor_charge	quality_score	confidence	ptm_flag	within_var	mean_similarity
27777	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "813948"; PrecursorID: "0"; scans: "33162"	503.2982	2	0.9682	HIGH	False	0.0029	0.9971
27777	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "813962"; PrecursorID: "0"; scans: "33177"	503.2987	2	0.9682	HIGH	False	0.0029	0.9971
6900	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "597721"; PrecursorID: "0"; scans: "12588"	472.2800	2	0.9668	HIGH	False	0.0031	0.9969
6900	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "597751"; PrecursorID: "0"; scans: "12620"	472.2797	2	0.9668	HIGH	False	0.0031	0.9969
13051	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_03.raw"; SpectrumID: "672902"; PrecursorID: "0"; scans: "21710"	491.7800	2	0.9662	HIGH	False	0.0031	0.9969
13051	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_03.raw"; SpectrumID: "672934"; PrecursorID: "0"; scans: "21746"	491.7631	2	0.9662	HIGH	False	0.0031	0.9969
39151	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "926043"; PrecursorID: "0"; scans: "16046"	440.9478	3	0.9661	HIGH	False	0.0031	0.9969
39151	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "926048"; PrecursorID: "0"; scans: "16052"	440.6131	3	0.9661	HIGH	False	0.0031	0.9969
39537	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "930858"; PrecursorID: "0"; scans: "21549"	973.0083	2	0.9661	HIGH	False	0.0031	0.9969
39537	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "996448"; PrecursorID: "0"; scans: "23336"	973.0087	2	0.9661	HIGH	False	0.0031	0.9969
